DISPLAY_NAME,TYPE,work_count
Federal Foreign Office,government,499
Klinikum Lüdenscheid,healthcare,497
NaMLab (Germany),company,497
Wissenschaftliches Institut für Infrastruktur und Kommunikationsdienste,other,496
St. Anna Hospital,healthcare,496
University of Design Schwäbisch Gmünd,education,495
Hans Böckler Foundation,nonprofit,495
KRH Klinikum Nordstadt,healthcare,495
Krankenhaus der Barmherzigen Brüder Trier,nonprofit,495
Institut für Nanophotonik,facility,493
European Neuroscience Institute Göttingen,facility,492
Diakonie Kork,healthcare,491
W. L. Gore & Associates (Germany),company,490
TRUMPF (Germany),company,490
German Diabetes Center Mergentheim,facility,490
Saxon Academy of Sciences and Humanities in Leipzig,funder,487
Evangelisches Krankenhaus Königin Elisabeth Herzberge,healthcare,485
Heinz Nixdorf Stiftung,nonprofit,484
Poliklinik für Zahnerhaltung und Parodontologie,healthcare,484
Heraeus (Germany),company,481
Asklepios Kliniken Hamburg,healthcare,481
Helios Hospital Siegburg,healthcare,480
Institute of Avian Research,facility,480
Augenklinik Universitätsklinikum Würzburg,healthcare,480
Kreiskliniken Reutlingen,healthcare,479
Innovent,nonprofit,479
Nordwestdeutsche Forstliche Versuchsanstalt,facility,476
Kühne Logistics University,education,475
MorphoSys (Germany),funder,475
Christophorus Kliniken,healthcare,475
Nürtingen-Geislingen University of Applied Science,education,475
RWE (Germany),company,474
Industrial Union of Metalworkers,other,474
Albstadt-Sigmaringen University,education,474
University of Applied Sciences Erfurt,education,472
Peace Research Institute Frankfurt,facility,472
Orthopaedic University Hospital Friedrichsheim,healthcare,472
Fraunhofer Institute for Digital Media Technology,facility,470
Christiani,education,469
Helmholtz Center for Information Security,funder,469
St. Bernward Krankenhaus,healthcare,469
Federal Employment Agency,government,469
Aerospace Institute (Germany),company,468
Schüchtermann-Klinik,healthcare,467
University of Applied Sciences Wedel,education,466
Städtische Kliniken Mönchengladbach,healthcare,466
Mundipharma (Germany),company,465
Wissenschaftliches Institut der AOK,facility,463
Mosaiques Diagnostics and Therapeutics (Germany),company,462
Alb Fils Kliniken,healthcare,462
Ecologic Institute,nonprofit,461
Ostbayerische Technische Hochschule Amberg-Weiden,education,461
Asklepios Kliniken Bad Abbach,healthcare,460
Landstuhl Regional Medical Center,healthcare,458
Pierre Fabre (Germany),company,457
Paracelsus Elena Klinik Kassel,healthcare,456
Schneider Electric (Germany),company,455
Institut für Automation und Kommunikation,facility,454
Helios Amper-Klinikum Dachau,healthcare,452
Lungenklinik Hemer,healthcare,452
Berlin Mathematical School,funder,451
Johanniter-Krankenhaus Bonn,healthcare,449
Marien Hospital Witten,healthcare,448
X-Fab (Germany),company,448
Elbe Kliniken Stade-Buxtehude,healthcare,448
Medtronic (Germany),company,446
German Medical Association,other,445
UCB Pharma (Germany),funder,445
Fraunhofer Institute for Microelectronic Circuits and Systems,facility,443
Albertinen Diakoniewerk,healthcare,442
Ford (Germany),company,441
Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen,other,441
Klinik Bad Reichenhall,healthcare,441
Barmherzige Brüder Klinikum St. Elisabeth in Straubing,healthcare,438
Forschungsinstitut für Kinderernährung,education,436
Neu-Ulm University of Applied Sciences,education,435
European Institute for Energy Research,facility,434
Freudenberg (Germany),company,434
Bayerisches Landesamt für Umwelt,government,434
Eastman Chemical Company (Germany),company,433
Helmholtz Institute Erlangen-Nürnberg,government,432
Isar-Amper-Klinikum München-Ost,healthcare,432
Technical University of Applied Sciences Lübeck,education,432
Leibniz Supercomputing Centre,funder,430
Schaeffler (Germany),company,429
International Audio Laboratories Erlangen,facility,428
DRK Krankenhaus Altenkirchen-Hachenburg,healthcare,428
Zentrum für Psychiatrie Südwürttemberg,healthcare,428
Ambulatory Rehabilitation Center Berlin Adlershof,other,428
Heidenhain (Germany),company,427
Leopoldina Krankenhaus Schweinfurt,healthcare,427
Friedensau Adventist University,education,426
Nephrologisches Zentrum Goettingen,facility,426
Krankenhaus Sachsenhausen,healthcare,425
IGES Institut,facility,424
Framatome (Germany),company,424
Federal Agency for Cartography and Geodesy,government,423
Krebsregister Saarland,healthcare,422
Asahi Kasei (Germany),company,421
Leibniz Institute of European History,facility,421
Deutsche Post (Germany),company,420
University of Applied Sciences for Public Administration and Management,education,420
PHV Dialysezentrum,nonprofit,419
Kliniken Schmieder,healthcare,417
GfK (Germany),company,417
Medizinisches Laserzentrum Lübeck (Germany),company,416
German Centre of Gerontology,facility,416
AMO (Germany),company,416
National Association of Statutory Health Insurance Physicians,other,415
Universitätsaugenklinik Magdeburg,healthcare,415
Supply Chain Competence Center (Germany),other,413
Dr Willmar Schwabe (Germany),company,412
Helios Endo-Klinik Hamburg,healthcare,412
Chemisches und Veterinäruntersuchungsamt Karlsruhe,other,412
CBS International Business School,education,412
Inn-Salzach-Klinikum,healthcare,411
KIST Europe,facility,410
Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,funder,409
Ernst Strüngmann Institute for Neuroscience,facility,409
Rosenheim Technical University of Applied Sciences,education,408
Evangelische Lungenklinik Berlin,healthcare,406
PNSensor (Germany),company,406
International Psychoanalytic University Berlin,education,406
Paracelsus-Kliniken,healthcare,405
Dornier Flugzeugwerke (Germany),company,405
Medias Klinikum,healthcare,405
Krankenhaus St. Elisabeth und St. Barbara,healthcare,404
Biobase (Germany),company,403
Senckenberg Museum für Naturkunde Görlitz,archive,402
Mercator Institute for China Studies,other,402
Sozialwissenschaftliche Forschung und Beratung,nonprofit,400
GEOMAR Technologie GmbH - GTG,company,399
Katholisches Kinderkrankenhaus Wilhelmstift,healthcare,399
State Library of Württemberg,archive,398
Institute for Applied Systems Technology Bremen,facility,398
Ortenau Klinikum,healthcare,396
University of Applied Sciences Biberach,education,396
Diakonie Klinikum Jung-Stilling,healthcare,395
Institute for International Social Research,nonprofit,394
Stifterverband,other,394
University of Applied Sciences and Arts Hildesheim/Holzminden/Göttingen,education,393
Frequentis (Germany),company,393
Institut für Grenzgebiete der Psychologie und Psychohygiene,nonprofit,393
Leibniz Institute for East and Southeast European Studies,funder,393
Altonaer Kinderkrankenhaus,healthcare,392
Deutsche Gesellschaft für Internationale Zusammenarbeit,other,392
Institut für Arbeitsschutz der Deutschen Gesetzlichen Unfallversicherung,facility,392
Europa-Institut,education,392
Space Telescope European Coordinating Facility,facility,391
Lower Saxony State Office for Consumer Protection and Food Safety,government,391
Schön Klinik München Harlaching,healthcare,391
Leibniz Institute for Research on Society and Space,other,391
"Poliklinik für Endokrinologie, Diabetologie und Präventivmedizin",healthcare,389
Fraunhofer Institute for Microstructure of Materials and Systems,facility,389
Marien Hospital Düsseldorf,healthcare,389
LEIZA - Leibniz-Zentrum für Archäologie,archive,388
Marienhospital Osnabrück,healthcare,388
Institut für Frauengesundheit,other,387
Diakonie Deutschland,nonprofit,387
ABB (Germany),company,387
Paul Langerhans Institute Dresden,facility,387
Laboklin (Germany),company,387
Federal Ministry of Labour and Social Affairs,government,385
Sonneberg Observatory,facility,385
Institut für Mikroelektronik Stuttgart,nonprofit,384
Magna International (Germany),company,383
Evangelisches Krankenhaus Göttingen-Weende,healthcare,383
Klinik König-Ludwig Haus,healthcare,382
Institut für Handelsforschung,other,381
St. Bonifatius Hospital,healthcare,381
Nomor Research (Germany),company,379
Analytisches Laboratorium,facility,379
Ingenieure für das Bauwesen,other,379
Diamant (Germany),company,379
Bonn Aachen International Center for Information Technology,funder,379
Rotkreuzklinikum München,nonprofit,377
Amgen (Germany),company,377
Deutsches Forschungsnetz,facility,377
ADVA Optical Networking (Germany),company,374
Clariant (Germany),company,374
Bundeskriminalamt,government,374
Hohenstein Institute,facility,373
Chemical Genomics Centre,facility,373
Landesgesundheitsamt Baden-Württemberg,government,371
Klinikum Mittelbaden,healthcare,371
Fachklinik 360°,healthcare,371
Helios Vogtland Klinikum Plauen,healthcare,369
Oeko Institut,nonprofit,369
Clemenshospital Münster,healthcare,369
Evangelisches Krankenhaus Oldenburg,healthcare,369
Institute for Laser Technology in Medicine and Measurement Technique,nonprofit,368
Medical Mission Institute,other,367
Herrenknecht (Germany),company,367
Fachklinik Hornheide,healthcare,367
Sankt Gertrauden Krankenhaus,healthcare,366
Helmholtz Association of German Research Centres,government,365
Rhenish Institute for Environmental Research,facility,365
Hochschule Macromedia,education,364
Genetikum,facility,364
Bundeswehr Medical Service Academy,healthcare,364
Max Planck Institut für Zellbiologie,facility,364
Siloah St. Trudpert Klinikum,healthcare,364
Institut für Lungenforschung,facility,363
Landschaftsverband Westfalen-Lippe,other,362
DVGW - Technologiezentrum Wasser,facility,361
"Institut für Tier-, Natur- und Umweltethik",nonprofit,361
Catholic University of Applied Sciences of North Rhine – Westphalia,education,360
Nierenzentrum Heidelberg,healthcare,360
Mannesmann (Germany),company,360
Johanna-Etienne-Krankenhaus,healthcare,360
ECT Oekotoxikologie (Germany),company,359
Agaplesion Bethesda Krankenhaus,healthcare,359
Friedrich-Ebert-Stiftung e.V.,other,358
Kreditanstalt für Wiederaufbau,other,356
Deutz (Germany),company,356
Klinikum Mutterhaus der Borromäerinnen,healthcare,356
Institut für Klinische Forschung und Entwicklung,facility,355
Forschungsstätte der Evangelischen Studiengemeinschaft,facility,355
Niedersächsisches Landesgesundheitsamt,government,355
Bundesanstalt für Wasserbau,government,355
Nova Institut,facility,355
Asklepios Klinik Langen,healthcare,354
Federal Agency for Nature Conservation,government,354
B. Braun (Germany),funder,354
Gemeinschaftskrankenhaus Havelhöhe,healthcare,354
SRH Hochschule Heidelberg,education,353
Klinik Schillerhöhe,healthcare,352
Hamburg University of Music and Drama,education,351
Institute for Interdisciplinary Medicine,healthcare,351
Schmalkalden University of Applied Sciences,education,351
Gemeinschaftskrankenhaus Herdecke,healthcare,350
"Bundesministerium für Forschung, Technologie und Raumfahrt",government,350
Kernkraftwerk Gundremmingen,other,349
Max Planck Institute of Animal Behavior,facility,349
Mammazentrum Hamburg,healthcare,349
BRIQ Institute on Behavior and Inequality,education,348
Leibniz Institute for Regional Geography,facility,348
Leibniz-Centre for Contemporary History,facility,348
Institut für Psychogerontologie,facility,346
DRK-Blutspendedienst Baden-Württemberg - Hessen,healthcare,346
Halbleiterlabor of the Max-Planck-Society,facility,345
Vogtland-Klinik,healthcare,345
Mitsui Chemicals (Germany),company,345
Technische Informationsbibliothek (TIB),archive,344
GlaxoSmithKline (Germany),company,343
Rosa Luxemburg Foundation,other,343
Fachkrankenhaus Kloster Grafschaft,healthcare,343
Herzog August Library,archive,343
Symrise (Germany),funder,342
Fuchs (Germany),company,342
Verband der Privaten Krankenversicherung,other,342
Alexander von Humboldt Institute for Internet and Society,other,341
Klinikum Rheine,healthcare,341
Institut für Sozialforschung und Sozialwirtschaft,facility,341
Federal Centre for Health Education,government,339
Amadeu Antonio Foundation,nonprofit,339
Südharz Klinikum,healthcare,338
Max Planck Research Unit for Enzymology of Protein Folding,facility,338
Ihre-Radiologen,other,338
Becker Technologies (Germany),company,337
Israelitisches Krankenhaus,healthcare,337
German Central Institute for Social Issues,nonprofit,336
Asklepios Fachklinikum Brandenburg,healthcare,335
"Katholisches Klinikum Lünen/Werne , St.-Marien-Hospital Lünen",healthcare,335
Fraunhofer Institute for Applied and Integrated Security,facility,334
Hochschule für Telekommunikation Leipzig,education,334
Mahle (Germany),company,334
HEAD Acoustics (Germany),company,333
Psychologische Hochschule Berlin,education,333
Diabetes-Akademie,nonprofit,333
Diakonie-Klinikum Stuttgart,healthcare,333
Institute of Marine Biotechnology,facility,333
Thüringer Universitäts- und Landesbibliothek,archive,333
Institute for Integrative and Experimental Genomics,facility,331
Qiagen (Germany),company,331
SRH University Berlin,education,331
Heidelberg Institute for Stem Cell Technology and Experimental Medicine,nonprofit,330
Forschungsinstitut der Diabetes Akademie Mergentheim,healthcare,330
Union zur Förderung von Oel- und Proteinpflanzen e.V.,other,330
IPPMed (Germany),company,330
State Museum of Natural History Karlsruhe,archive,330
Fraunhofer Institute for Silicon Technology,facility,330
Gesellschaft für Klinische Forschung,other,329
Kurt-Schwabe-Institut für Mess- und Sensortechnik Meinsberg,facility,328
Adelwitz Technologiezentrum (Germany),company,328
Hospital zum Heiligen Geist,healthcare,327
Regierungspräsidium Stuttgart,government,327
Max Planck Digital Library,archive,327
Senatsverwaltung für Stadtentwicklung und Wohnen,government,326
Ericsson (Germany),company,326
Federal Institute for Vocational Education and Training,facility,326
Landeszentrum Gesundheit Nordrhein-Westfalen,government,325
Schmid (Germany),company,325
Fraunhofer Institute for Software and Systems Engineering,facility,325
Federal Institute for Health Protection of Consumers and Veterinary Medicine,government,324
Fraunhofer Center for Silicon Photovoltaics,facility,324
Institut für angewandte Photonik,facility,324
Evangelisches Diakoniekrankenhaus,healthcare,322
Klinik Niederrhein,healthcare,320
Centre for Structural Systems Biology,facility,320
DIAKO,healthcare,320
St. Josefskrankenhaus Freiburg,healthcare,320
Medigene (Germany),company,320
Institut für das Bauen mit Kunststoffen,nonprofit,319
Terumo (Germany),company,318
Bürgerhospital Frankfurt am Main,healthcare,318
Leibniz Institute for Resilience Research,facility,318
Forschungsgesellschaft Kraftfahrwesen Aachen (Germany),company,316
University of Art and Design Offenbach,education,315
"Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie",government,314
Menlo Systems (Germany),company,314
Weber and Weber (Germany),company,313
NEC (Germany),company,313
Klinik Bad Oexen,healthcare,312
Institute of Clinical Cancer Research,facility,312
Federal Maritime and Hydrographic Agency of Germany,government,311
European Patent Organisation,other,311
"Landesamt für Natur, Umwelt und Verbraucherschutz Nordrhein-Westfalen",government,311
Klinikum Passau,healthcare,311
Eurofins (Germany),company,311
Helios Park-Klinikum Leipzig,healthcare,308
Berlin State Library,archive,308
German Marine Research Consortium,other,308
Herford Hospital,healthcare,307
Theologische Fakultät Fulda,education,307
Forschungsinstitut Havelhöhe,nonprofit,307
Evotec (Germany),company,307
ZBW – Leibniz-Informationszentrum Wirtschaft,facility,307
Federal Ministry of Finance,government,305
German Centre for Higher Education Research and Science Studies,government,304
Friedrich Miescher Laboratory,nonprofit,304
University and Rehabilitation Clinics Ulm,healthcare,303
Jungheinrich (Germany),company,302
BP (Germany),company,301
German Research Institute for Public Administration,facility,301
Beilstein-Institut,nonprofit,301
Criminological Research Institute of Lower Saxony,facility,301
Individual Development and Adaptive Education,facility,301
Pathodiagnostik Berlin,facility,300
Institut für Sozialwissenschaftliche Forschung,nonprofit,300
John Deere (Germany),company,299
ILS – Research Institute for Regional and Urban Development,nonprofit,299
Friedrich-Ebert-Krankenhaus,healthcare,299
Techniker Krankenkasse (Germany),company,298
Verein für Umweltmanagement und Nachhaltigkeit in Finanzinstituten,other,298
Materials Science International Services (Germany),company,297
Right Way (Germany),company,297
St. Marien-Hospital Bonn,healthcare,297
Gemeinschaftsklinikum Mittelrhein,healthcare,297
Klinik Bavaria,healthcare,296
Berufsverband Niedergelassener Gynäkologischer Onkologen,other,296
Kreiskrankenhaus Dormagen,healthcare,295
Leibniz ScienceCampus Primate Cognition,facility,294
Huawei German Research Center,facility,294
Sasol (Germany),company,293
Zentrum für Pathologie und Zytodiagnostik,other,292
Deutsche Gesellschaft für Information und Wissen,other,292
Evangelisches Krankenhaus Oberhausen,healthcare,292
IWW Water Centre,facility,292
Institute for Peace Research and Security Policy,facility,292
Else Kröner-Fresenius-Stiftung,nonprofit,292
Mahlo (Germany),company,291
European Media Laboratory (Germany),company,291
Park-Klinik Weißensee,healthcare,291
Sartorius (Germany),company,290
"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",facility,290
Jüdisches Krankenhaus Berlin,healthcare,290
Dialog Semiconductor (Germany),company,290
Catholic University of Applied Sciences,education,289
Institute for Advanced Study in the Humanities Essen,facility,289
"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",government,288
SpaceTech (Germany),company,288
AstraZeneca (Germany),company,288
University of Education Schwaebisch Gmuend,education,288
Allensbach Institute,facility,288
Federal Office for Food and Agriculture,government,288
Landesforschungsanstalt für Landwirtschaft und Fischerei Mecklenburg-Vorpommern,government,288
GKV Spitzenverband,other,287
Institute for Frontier Areas of Psychology and Mental Health,facility,286
Helios Klinik Hagen Ambrock,healthcare,285
Atotech (Germany),company,285
Amedes MVZ Hamburg,other,285
Institute for New Media,other,285
Kliniken des Landkreises Lörrach,healthcare,284
Hertie Foundation,nonprofit,284
Fraunhofer Institute for Cognitive Systems,facility,284
Entwicklungszentrum für Schiffstechnik und Transportsysteme,facility,284
Institute for Advanced Study,nonprofit,284
Deutsche Gesellschaft für Urologie,other,283
Senckenberg German Entomological Institute,facility,282
Evangelisches Krankenhaus Kalk,healthcare,281
Prosper Hospital,healthcare,281
Berufsverband der Frauenärzte,other,281
Groundwater Center,nonprofit,281
Nordakademie,education,281
Sigmund Freud Institut,other,281
Max Planck Institute for Biology,facility,280
Leoni (Germany),company,280
Francis Hospital,healthcare,280
Federal University of Applied Administrative Sciences,education,279
Atlas Copco (Germany),company,278
German Research School for Simulation Sciences,education,278
Universitäts HNO Klinik Mannheim,healthcare,278
Invent (Germany),company,278
Institute for Ecological Economy Research,facility,278
Diabeteszentrum Bad Lauterberg,healthcare,278
Vitos,healthcare,277
Zentrum für Pränataldiagnostik,healthcare,277
Akademie für Gesundheitsberufe,education,277
Institut Für Angewandte Kulturforschung,nonprofit,276
Microsoft (Germany),company,276
National Research Center for Applied Cybersecurity ATHENE,facility,275
German National Bone Marrow Donor Registry,nonprofit,275
Deutsches Textilforschungszentrum Nord-West,facility,274
Forschungszentrum Energiespeichertechnologien,facility,274
Fraunhofer Institute for Mechatronic Systems Design,facility,273
Deutscher Beton- und Bautechnik-Verein,nonprofit,273
Einstein Center for Neurosciences Berlin,facility,273
Krankenhaus Agatharied,healthcare,272
Bayerische Landesanstalt für Wald und Forstwirtschaft,facility,272
Cycle (Germany),company,272
Federal Office for Information Security,other,272
Social Neuroscience Lab,facility,270
MS-Schramberg (Germany),company,269
Stiftung Juliusspital,nonprofit,269
Hegau-Bodensee-Klinikum Singen,healthcare,268
Society of Paediatric Oncology and Haematology,nonprofit,267
Knappschaftsklinikum Saar,healthcare,267
Landwirtschaftskammer Niedersachsen,other,267
Hof University of Applied Sciences,education,267
Institute for Labour Law and Industrial Relations in the European Union,facility,267
Walter Eucken Institut,facility,267
InfoConsult (Germany),company,266
Krankenhaus Lindenbrunn,healthcare,266
Institut für Bodenkultur und Pflanzenbau,nonprofit,264
Research Centre of Medical Technology and Biotechnology,healthcare,264
International School of Management,education,261
Remote Sensing Solutions (Germany),company,260
Chondrometrics (Germany),company,260
German Respiratory Society,nonprofit,260
Institut für Mikroelektronik- und Mechatronik-Systeme,facility,260
Energie Baden-Württemberg (Germany),company,260
KWS Saat (Germany),company,259
University of Applied Sciences FHDW Hannover,education,259
Deutsches Beratungszentrum für Hygiene,other,258
Kunststoff-Institut Lüdenscheid,nonprofit,257
Federal Institute for Population Research,government,257
Hauri (Germany),company,256
Deutsche Gesellschaft für Hämatologie und Medizinische Onkologie,other,256
"Landesamt für Landwirtschaft, Umwelt und ländliche Räume",government,256
Leibniz Institute for Educational Trajectories,funder,256
Diabetesinstitut Heidelberg,facility,255
Agaplesion Bethanien Krankenhaus,healthcare,255
Cardio-Pulmonary Institute,funder,255
Institut für Polymerwerkstoffe,facility,253
Gerresheimer (Germany),company,253
CeGaT (Germany),company,253
Feuerwehr Dortmund,government,253
Stadtkrankenhaus Schwabach,healthcare,252
Institute for Therapy and Health Research,nonprofit,251
Max Planck Unit for Structural Molecular Biology,facility,250
MSD (Germany),company,250
Advanced Mask Technology Center (Germany),company,250
MVZ - Kurfürstendamm,healthcare,250
Landesinstitut für Lehrerbildung und Schulentwicklung,education,250
Festo (Germany),company,249
Internationale Akademie Berlin,nonprofit,249
InLeaVe,other,248
Toptica Photonics (Germany),company,248
Institute for Food and Environmental Research,facility,248
Agaplesion Bethesda Klinik,healthcare,248
Helmholtz Institute for Functional Marine Biodiversity,facility,248
Sana Kliniken Duisburg,healthcare,248
Maria Hilf Krankenhaus,healthcare,247
Verwaltungs-Berufsgenossenschaft,other,247
Die Johanniter,nonprofit,247
Vinzenz Pallotti University,education,246
Climate Analytics,nonprofit,246
RAG Aktiengesellschaft (Germany),company,244
TÜV Rheinland (Germany),company,244
Clinical Research Center for Hair and Skin Science,facility,244
Dräger (Germany),company,243
Refonet,nonprofit,243
Krankenhaus Salem,healthcare,243
Medizinisch Wissenschaftliche Verlagsgesellschaft (Germany),company,243
Schweißtechnische Lehr- und Versuchsanstalt,facility,243
Institut für Sozialarbeit und Sozialpädagogik,nonprofit,242
Agaplesion Frankfurter Diakonie Kliniken,healthcare,242
German Insurance Association,other,242
Goethe Institut,nonprofit,242
Institut Kurz,facility,242
Praxis für Humangenetik Tübingen,facility,242
Global Climate Forum,nonprofit,242
Fraunhofer Institute for Energy Economics and Energy System Technology,facility,241
Katholisches Klinikum Koblenz,healthcare,241
Altana (Germany),company,241
Dr. August Wolff (Germany),company,240
Schlaich Bergermann und Partner (Germany),company,240
Procter & Gamble (Germany),company,239
Stahl-Zentrum (Germany),company,239
Klinikum Würzburg Mitte,healthcare,239
Waldkrankenhaus Rudolf Elle,healthcare,239
Wehrwissenschaftliche Institut für Schutztechnologien,facility,239
German Institute of Food Technologies,facility,238
Carl Gustav Carus-Institut,facility,238
Ansbach University of Applied Sciences,education,238
Deutsches Institut für Bautechnik (Germany),company,238
JenLab (Germany),company,238
University of Applied Management,education,238
Krankenhaus Märkisch-Oderland,healthcare,238
Federal Ministry of Health,government,237
LVR-Klinik für Orthopädie Viersen,healthcare,237
PE International (Germany),company,237
Robert Bosch Stiftung,nonprofit,237
Chemisches und Veterinäruntersuchungsamt Stuttgart,facility,237
Neurologisches Fachkrankenhaus für Bewegungsstörungen/Parkinson,healthcare,237
Leibniz-Zentrum für Literatur- und Kulturforschung,facility,237
Umicore (Germany),company,237
Physiotherapie und Lauftherapie Zentrum,healthcare,237
Siempelkamp (Germany),company,236
Deutsche Gesetzliche Unfallversicherung,other,236
Hochschule für Gesundheit - University of Applied Sciences,education,236
"Gesellschaft zur Förderung von Medizin-, Bio- und Umwelttechnologien",nonprofit,236
Institut für Hämatopathologie Hamburg,healthcare,236
Faurecia (Germany),education,235
IDEXX Laboratories (Germany),company,235
Christoffel Blinden Mission,nonprofit,235
Myriad (Germany),company,233
Augusta Krankenhaus,healthcare,232
Zentrum für Psychiatrie Emmendingen,healthcare,232
Alanus University of Arts and Social Sciences,education,232
Independent Centre for Privacy Protection,facility,231
Migräne Klinik Königstein,healthcare,231
ARCUS Sports Clinic,healthcare,231
Klinik für Herzchirurgie Karlsruhe,healthcare,231
Katholisches Klinikum Bochum,healthcare,230
Apple (Germany),company,230
Cnopf´sche Kinderklinik,healthcare,230
Scientific Research and Development (Germany),company,230
McKinsey & Company (Germany),company,229
Bernstein Center for Computational Neuroscience Munich,government,229
Kayser Automotive (Germany),company,229
Hexal (Germany),funder,228
MBDA (Germany),company,228
Fraunhofer Institute for Translational Medicine and Pharmacology,facility,227
CeramTec (Germany),company,227
Fachkrankenhaus Hubertusburg,healthcare,227
Hans-Bredow-Institute,nonprofit,227
Institute for Bee Research,facility,227
Baxter (Germany),company,227
Klinikum Altenburger Land,healthcare,226
Francke Foundations,archive,225
KUKA (Germany),company,225
Infektionsmedizinisches Centrum Hamburg,facility,225
Leibniz Institute for Educational Media | Georg Eckert Institute,facility,225
RoMed Kliniken,healthcare,225
Technologie- und Förderzentrum im Kompetenzzentrum für Nachwachsende Rohstoffe,facility,224
Parmenides Foundation,education,224
German Police University,education,224
"Hessian Agency for Nature Conservation, Environment and Geology",government,224
Krankenhaus St. Joseph-Stift Bremen,healthcare,224
Rational (Germany),company,224
Fraunhofer Institute for Technological Trend Analysis,facility,224
Gesellschaft zur Förderung angewandter Informatik,nonprofit,223
Forschungsinstitut für Mineralische und Metallische Werkstoffe Edelsteine/Edemetalle,company,223
GWT-TUD (Germany),company,223
Institut für biologische Forschung,facility,223
Waldkrankenhaus Protestant Hospital,healthcare,222
Institute for Bioprocessing and Analytical Measurement Techniques,facility,222
International Solar Energy Research Center Konstanz,nonprofit,222
SRH Hochschule für Gesundheit Gera,education,221
VDI/VDE Innovation + Technik,nonprofit,221
Institut für Unternehmenskybernetik,facility,220
BioNTech (Germany),company,220
Behandlungszentrum Aschau,healthcare,219
Hewlett-Packard (Germany),company,219
Sophien-und Hufeland Klinikum,healthcare,219
BDH-Klinik Hessisch Oldendorf,healthcare,219
Institut für Hochschulforschung,facility,219
Klinik Preetz,healthcare,219
Marienkrankenhaus Kassel,healthcare,219
Bauhaus Luftfahrt,company,218
General Electric (Germany),company,218
Probiodrug (Germany),company,218
Vistec Electron Beam (Germany),company,217
Acatech,education,217
Institut für Biotechnologie und Wirkstoff-Forschung,nonprofit,217
Klinikum Wilhelmshaven,healthcare,217
Fraunhofer Research Institution for Microsystems and Solid State Technologies,facility,216
Roland Ernst Stiftung,nonprofit,215
Landesbetrieb Landwirtschaft Hessen,other,215
Bausch Health (Germany),company,215
PicoQuant (Germany),company,214
Institut für Energie- und Umweltforschung Heidelberg,facility,214
Staatliches Naturhistorisches Museum,archive,214
Klinikverbund Südwest,healthcare,214
Zentrum für Qualität in der Pflege,nonprofit,213
Institut für Nichtklassische Chemie,facility,213
Deutsche Schmerzgesellschaft,other,212
Association of the Scientific Medical Societies,other,212
German Organ Transplantation Foundation,nonprofit,212
University of Applied Sciences Europe,education,212
Centogene (Germany),company,211
Catholic University of Applied Sciences Freiburg,education,211
Institute of Air Handling and Refrigeration,facility,211
Deutsche Gesellschaft für Gefäßchirurgie und Gefäßmedizin,other,211
CiS Research Institute for Micro Sensors and Photovoltaics,nonprofit,209
Innolume (Germany),company,209
Klinik Lüneburger Heide,healthcare,209
Stiftung Schleswig-Holsteinische Landesmuseen,archive,209
Marienhospital Gelsenkirchen,healthcare,209
Vertically Integrated Systems (Germany),company,208
Institut für Mittelstandsforschung,other,208
German United Services Trade Union,other,208
German Council on Foreign Relations,nonprofit,208
Institut für Umformtechnik (Germany),company,208
Dermatologie Freiburg,healthcare,208
Gemeinsamer Bundesausschuss,government,207
German Institute of Rubber Technology,facility,207
E.ON (Germany),company,207
Institute of Energy Economics at the University of Cologne,facility,206
Nanion (Germany),company,206
Kao Corporation (Germany),company,205
PTV Group (Germany),company,205
Göttingen Academy of Sciences and Humanities,funder,205
LVR-Klinik Bonn,healthcare,205
Technische Hochschule Georg Agricola,education,205
Witzenhausen-Institut (Germany),company,205
Evangelisches Krankenhaus Hamm,healthcare,204
Klinikum Itzehoe,healthcare,204
"Fraunhofer Institute for Casting, Composite and Processing Technology IGCV",facility,204
Frankfurt Zoological Society,funder,203
Institute of Textile Technology and Process Engineering,facility,203
Trimble (Germany),company,203
"Fraunhofer Institute for Integrated Circuits IIS, Division Engineering of Adaptive Systems EAS",facility,203
Polytec (Germany),funder,203
University of Music Detmold,education,203
Krankenhaus Porz am Rhein,healthcare,203
Berufsverband der Deutschen Dermatologen,other,202
InfectoGnostics Research Campus Jena,facility,202
Berlin Centre of Competence for Water,nonprofit,202
Asklepios Klinik Weißenfels,healthcare,201
Atrial Fibrillation NETwork,nonprofit,201
Malteser Krankenhaus St. Anna,healthcare,200
Franziskus-Krankenhaus Berlin,healthcare,200
Luye Pharma (Germany),company,199
Hessisches Landesmuseum Darmstadt,archive,199
Hamburg Institute for Social Research,other,198
Huf Hülsbeck & Fürst (Germany),company,198
Protestant University of Applied Sciences Rhineland-Westphalia-Lippe,education,198
Maurer (Germany),company,198
Voith (Germany),company,198
Zentralinstitut für die Kassenärztliche Versorgung in der Bundesrepublik Deutschland,facility,198
Institut für Notfallmedizin Allgäu,nonprofit,197
G.E.O.S. Ingenieurgesellschaft (Germany),company,197
