DISPLAY_NAME,TYPE,work_count
Leibniz Association,government,6652
Max Planck Institute of Biochemistry,facility,6631
Deutsches Herzzentrum der Charité,healthcare,6542
Max Planck Institute for Informatics,facility,6477
Karlsruhe University of Education,education,6466
German Institute for Economic Research,nonprofit,6384
German Centre for Cardiovascular Research,funder,6382
Infineon Technologies (Germany),funder,6375
Zimmer Biomet (Germany),funder,6274
Boehringer Ingelheim (Germany),funder,6212
Max Planck Institute for Chemistry,funder,6135
"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",facility,6091
Max Planck Institute for the Physics of Complex Systems,funder,6044
Max Planck Institute for Physics,facility,6012
University of Passau,funder,5993
Klinik für Frauenheilkunde,healthcare,5916
Max Planck Institute of Psychiatry,facility,5765
German Research Centre for Artificial Intelligence,nonprofit,5737
Universitätsklinikum des Saarlandes,healthcare,5679
Springer Nature (Germany),funder,5662
Helmut Schmidt University,education,5645
Klinik und Poliklinik für Psychiatrie und Psychotherapie,healthcare,5552
Universitätsklinikum Tübingen,healthcare,5470
German Center for Lung Research,funder,5460
University Children's Hospital Tübingen,healthcare,5418
Leibniz Institute for Astrophysics Potsdam,funder,5392
Max Planck Institute for Social Anthropology,facility,5371
Merck (Germany),funder,5346
Max Planck Institute of Quantum Optics,funder,5309
Max Planck Institute for Dynamics of Complex Technical Systems,funder,5295
Max Planck Institute for Comparative and International Private Law,facility,5180
Max Planck Institute for Mathematics,facility,5161
National Center for Tumor Diseases,healthcare,5138
Helios Dr. Horst Schmidt Kliniken Wiesbaden,healthcare,5023
Friedrich-Loeffler-Institut,government,5021
Schott (Germany),company,4942
Institute of Medical Microbiology and Hygiene,facility,4932
German Sport University Cologne,funder,4931
Klinik und Poliklinik für Neurologie,healthcare,4864
Max Planck Institute for Biogeochemistry,facility,4785
Amazon (Germany),company,4773
Helmholtz-Zentrum Hereon,government,4711
Deutsches Diabetes-Zentrum e.V.,facility,4679
Stuttgart Observatory,facility,4675
Center for NanoScience,funder,4664
Max Planck Institute for Meteorology,facility,4632
Deutsches Herzzentrum München,healthcare,4562
Max-Planck-Institut für Kohlenforschung,facility,4559
Leibniz Institute of Polymer Research,funder,4504
Leibniz Institute for Neurobiology,facility,4479
Centre for European Economic Research,nonprofit,4325
Max-Born-Institute for Nonlinear Optics and Short Pulse Spectroscopy,facility,4298
Max Planck Institute for Molecular Genetics,facility,4266
Society for Chemical Engineering and Biotechnology,nonprofit,4264
HAW Hamburg,education,4252
Klinik und Poliklinik für Psychosomatische Medizin und Psychotherapie,healthcare,4234
German Center for Infection Research,funder,4165
Bauhaus-Universität Weimar,funder,4160
BG University Hospital Bergmannsheil Bochum,healthcare,4157
University of Applied Sciences Mainz,education,4048
Max Planck Institute for Chemical Physics of Solids,facility,4036
Bristol-Myers Squibb (Germany),company,4003
LVR-Klinik Köln,healthcare,3893
Carl Zeiss (Germany),funder,3878
Giessen School of Theology,education,3875
Klinik und Poliklinik für Psychotherapie und Psychosomatik,healthcare,3735
Max Planck Institute for the Study of Societies,facility,3723
University of Hildesheim,education,3722
German Institute of Human Nutrition,facility,3708
Max Planck Institute for Legal History and Legal Theory,facility,3687
Leibniz Institute of Freshwater Ecology and Inland Fisheries,funder,3678
Frankfurt Institute for Advanced Studies,facility,3677
Museum für Naturkunde,archive,3663
Weierstrass Institute for Applied Analysis and Stochastics,funder,3648
Klinik und Poliklinik für Kinder- und Jugendmedizin,healthcare,3614
Max Planck Institute of Molecular Cell Biology and Genetics,facility,3589
St. Josef-Hospital,healthcare,3589
Catholic University of Eichstätt-Ingolstadt,funder,3577
Leibniz Institute for Catalysis,facility,3576
Klinik und Poliklinik für Nuklearmedizin,healthcare,3575
Max Planck Institute of Microstructure Physics,facility,3568
Orthopädische Universitätsklinik,healthcare,3560
Leibniz Institute of Photonic Technology,facility,3547
BASF (Germany),funder,3544
Hertie Institute for Clinical Brain Research,other,3523
Universitäts Frauenklinik,healthcare,3511
Berlin Institute of Health at Charité - Universitätsmedizin Berlin,funder,3506
Vivantes Klinikum,healthcare,3493
Max Planck Institute of Molecular Plant Physiology,facility,3493
Max Planck Institute for Ornithology,funder,3483
Julius Kühn-Institut,government,3480
Hochschule Düsseldorf University of Applied Sciences,education,3449
Leipzig Heart Institute,facility,3425
Max Planck Institute for Innovation and Competition,facility,3424
Max Planck Institute for Research on Collective Goods,facility,3369
Helios Hospital Berlin-Buch,healthcare,3282
Center for Integrated Protein Science Munich,other,3278
German Center for Diabetes Research,facility,3278
Max Planck Institute for Chemical Ecology,facility,3269
Fraunhofer Institute for Solar Energy Systems,facility,3263
Philips (Germany),company,3235
Olgahospital,healthcare,3233
Max Planck Institute for Mathematics in the Sciences,funder,3228
Leibniz Institute of Plant Genetics and Crop Plant Research,funder,3207
Munich University of Applied Sciences,education,3184
Kerckhoff Klinik,healthcare,3179
"Max Planck Institute for the Study of Crime, Security and Law",facility,3177
Nuremberg Hospital,healthcare,3158
Research Center Borstel - Leibniz Lung Center,facility,3148
WZB Berlin Social Science Center,funder,3147
Hasso Plattner Institute,funder,3127
Klinikum Ludwigshafen,healthcare,3094
Heart and Diabetes Center North Rhine-Westphalia,healthcare,3077
Siemens Healthcare (Germany),funder,3056
Institut für Medien- und Kommunikationspolitik,facility,3056
Jülich Aachen Research Alliance,facility,3042
Deutsche Bundesbank,other,3021
Klinik für Psychosomatik,healthcare,3010
DIPF | Leibniz Institute for Research and Information in Education,facility,3009
Laboratory Dr. Wisplinghoff,facility,2952
European University Viadrina,education,2946
Max Planck Institute for Comparative Public Law and International Law,facility,2945
Max Planck Institute of Molecular Physiology,facility,2934
Federal Institute for Geosciences and Natural Resources,government,2898
University of Erfurt,funder,2897
University Hospital Augsburg,healthcare,2891
Federal Institute for Risk Assessment,government,2880
HTW Berlin - University of Applied Sciences,education,2848
Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,facility,2844
WHU – Otto Beisheim School of Management,education,2831
Praxis für Humangenetik,facility,2812
Orthopädische Praxis,healthcare,2801
"Institut für Medizinische Informatik, Biometrie und Epidemiologie",facility,2800
German Centre for Integrative Biodiversity Research,funder,2792
Senckenberg Research Institute and Natural History Museum Frankfurt/M,archive,2757
Institute of Automation,facility,2733
Max Planck Institute for Dynamics and Self-Organization,facility,2724
TH Köln - University of Applied Sciences,education,2719
Helmholtz Institute Jena,facility,2719
Bernhard Nocht Institute for Tropical Medicine,facility,2698
Max Planck Institute for Marine Microbiology,facility,2684
Kiel Institute for the World Economy,funder,2667
Asklepios Klinik St. Georg,healthcare,2660
German Primate Center,funder,2655
Max Planck Institute for Developmental Biology,facility,2653
Kliniken Essen-Mitte,healthcare,2614
Robert Bosch Hospital,healthcare,2613
Leibniz Centre for Agricultural Landscape Research,facility,2598
Universitätsmedizin Rostock,healthcare,2583
Klinik und Poliklinik für Urologie,healthcare,2581
Georg Simon Ohm University of Applied Sciences Nuremberg,education,2552
Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. - Hans-Knöll-Institut (HKI),funder,2541
Max Planck Institute for the Science of Light,facility,2532
Klinikum Stuttgart,healthcare,2524
Zentrum für Kinderheilkunde,healthcare,2522
Reutlingen University,education,2513
Institute of Groundwater Ecology,nonprofit,2501
BMW (Germany),company,2498
Max Planck Institute for Evolutionary Biology,facility,2497
Heidelberg Institute for Theoretical Studies,facility,2493
Helmholtz-Institute Ulm,government,2488
University Hospital in Halle,healthcare,2486
Leibniz Institute for Tropospheric Research,funder,2482
Clinical Research Center Kiel,facility,2469
Mitsubishi Heavy Industries (Germany),company,2468
Universitäts-Herzzentrum Freiburg-Bad Krozingen,healthcare,2440
Berliner Hochschule für Technik,education,2436
Deutscher Wetterdienst,facility,2425
Laser Zentrum Hannover,nonprofit,2417
Zuse Institute Berlin,facility,2410
German Rheumatism Research Centre,facility,2403
Paul Ehrlich Institut,facility,2398
Max Planck Institute for Plant Breeding Research,facility,2385
Cologne Excellence Cluster on Cellular Stress Responses in Aging Associated Diseases,facility,2382
München Klinik Bogenhausen,healthcare,2381
Leibniz Institute for Baltic Sea Research,funder,2376
Institute for Advanced Study,funder,2370
Chirurgische Universitätsklinik Heidelberg,healthcare,2334
Martini-Klinik,healthcare,2332
Karlsruhe University of Applied Sciences,education,2326
Fraunhofer Institute for Applied Optics and Precision Engineering,facility,2320
Universitätskinderklinik,healthcare,2312
Rütgers (Germany),company,2311
Paul Drude Institute for Solid State Electronics,facility,2302
Klinik und Poliklinik für Psychosomatik und Psychotherapie,healthcare,2282
Institut für Arbeitsmarkt und Berufsforschung,funder,2278
FH Münster,education,2275
Deutsche Telekom (Germany),company,2266
Ferdinand-Braun-Institut,facility,2256
Hochschule Aalen,education,2254
Brain (Germany),company,2240
L3S Research Center,facility,2233
Institute of Molecular Biology,funder,2226
BMW Group (Germany),company,2225
Eppendorf (Germany),company,2223
Max Planck Institute for Medical Research,facility,2177
Centre Marc Bloch,facility,2172
Heinz Maier-Leibnitz Zentrum,facility,2163
Excellence Cluster Universe,education,2153
Max Planck Institute for Infection Biology,facility,2150
Max Planck Institute for Demographic Research,funder,2144
Max Planck Institute of Experimental Medicine,facility,2140
Bundeswehrkrankenhaus,healthcare,2139
Center for Free-Electron Laser Science,facility,2138
De Gruyter Brill (Germany),company,2137
Klinikum Magdeburg,healthcare,2131
Leibniz Institute for High Performance Microelectronics,facility,2121
Berlin School of Economics and Law,education,2107
Mitsubishi Electric (Germany),company,2103
"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",facility,2093
Institut für Urheber- und Medienrecht,facility,2092
Frankfurt School of Finance & Management,education,2092
Max Planck Institute for Heart and Lung Research,facility,2083
German Red Cross,healthcare,2077
STZ eyetrial,healthcare,2075
Senckenberg Biodiversity and Climate Research Centre,funder,2067
Centrum für Integrierte Onkologie,facility,2064
Darmstadt University of Applied Sciences,funder,2063
Max Planck Institute for Terrestrial Microbiology,funder,2057
Helios Universitätsklinikum Wuppertal,healthcare,2054
Leibniz-Institute for Food Systems Biology at the Technical University of Munich,facility,2049
Fraunhofer Institute for Toxicology and Experimental Medicine,facility,2046
Ruhrlandklinik,healthcare,2036
Oldenburger Institut für Informatik,facility,2033
Research Institute for Farm Animal Biology (FBN),funder,2030
Fraunhofer Institute for Applied Solid State Physics,facility,2005
Sustainable Europe Research Institute,nonprofit,1998
Ophthalmology Clinic,healthcare,1994
Leibniz Research Centre for Working Environment and Human Factors,funder,1990
ExxonMobil (Germany),company,1983
West German Heart and Vascular Center Essen,healthcare,1978
Fraunhofer Institute for Production Systems and Design Technology,facility,1971
Roche Pharma AG (Germany),funder,1958
Bruker (Germany),company,1958
Fraunhofer Institute for Reliability and Microintegration,facility,1951
Hochschule Bonn-Rhein-Sieg,education,1951
Evonik (Germany),funder,1940
Max Planck Institute for the Structure and Dynamics of Matter,facility,1928
Pforzheim University of Applied Sciences,education,1921
Joint Research Centre,government,1921
TH Bingen University of Applied Sciences,education,1913
Hertie School,education,1910
Bernstein Center for Computational Neuroscience Tübingen,government,1896
Furtwangen University,education,1870
Klinikum Bremen-Mitte,healthcare,1862
Regensburg University of Applied Sciences,education,1859
Max Planck Institute for Metabolism Research,facility,1857
Fraunhofer Institute for Integrated Circuits,facility,1854
Koblenz University of Applied Sciences,education,1852
Paracelsus Medizinische Privatuniversität,education,1850
Fraunhofer Institute for Molecular Biology and Applied Ecology,facility,1849
Hochschule Niederrhein,funder,1848
Kirchhoff (Germany),company,1845
Städtisches Klinikum Karlsruhe,healthcare,1841
Norsk Hydro (Germany),company,1835
Max Planck Institute for Plasma Physics - Greifswald,facility,1831
Klinikum Oldenburg,healthcare,1829
Ernst Ruska Centre,facility,1829
Max Planck Innovation,facility,1828
Hochschule Osnabrück,education,1827
Helios Kliniken,healthcare,1822
Max Planck Institute of Immunobiology and Epigenetics,facility,1812
"Institut für Medizinische Biometrie, Informatik und Epidemiologie",facility,1800
Heilbronn University,education,1797
Software (Germany),company,1795
German Environment Agency,government,1788
Max Planck Institute of Biophysics,facility,1777
Baden-Wuerttemberg Cooperative State University,education,1775
Max Planck Institute for the Study of Religious and Ethnic Diversity,funder,1766
Johann Heinrich von Thünen-Institut,government,1765
Sanofi (Germany),company,1762
St. Franziskus Hospital,healthcare,1760
LungenClinic Grosshansdorf,healthcare,1757
Max Planck Institute of Neurobiology,facility,1752
Weihenstephan-Triesdorf University of Applied Sciences,education,1745
Leibniz Institute for Zoo and Wildlife Research,funder,1736
Leibniz-Forschungsinstitut für Molekulare Pharmakologie,facility,1716
Fraunhofer Institute for Computer Graphics Research,facility,1713
Institute for Biodiversity,nonprofit,1712
Zoological Research Museum Alexander Koenig,archive,1708
John Wiley & Sons (Germany),company,1706
Hochschule Bielefeld,funder,1700
Frankfurt University of Applied Sciences,funder,1687
Bayreuth Medical Center,healthcare,1678
Berlin-Brandenburger Centrum für Regenerative Therapien,funder,1677
Fachhochschule Kiel,education,1675
Praxis für Hämatologie und Onkologie,healthcare,1670
Leibniz Institute of Plant Biochemistry,funder,1668
Krankenhaus Barmherzige Brüder,healthcare,1661
Fraunhofer Institute for Open Communication Systems,facility,1657
Airbus (Germany),company,1657
RWI – Leibniz Institute for Economic Research,facility,1652
Universities of Giessen and Marburg Lung Center,education,1644
FOM University of Applied Sciences for Economics and Management,education,1637
Deutsche Forschungsgemeinschaft,nonprofit,1633
Esslingen University of Applied Sciences,education,1632
Fraunhofer Institute for Mechanics of Materials,facility,1622
Leibniz Centre for Tropical Marine Research,funder,1621
EBS University of Business and Law,education,1619
Unfallkrankenhaus Berlin,healthcare,1618
Cardiovascular Center Frankfurt,facility,1614
Fraunhofer Institute for Industrial Mathematics,facility,1612
Max Planck Institute for the Science of Human History,funder,1610
Fulda University of Applied Sciences,education,1599
Fraunhofer Institute for Systems and Innovation Research,facility,1598
Bavarian State Collection of Zoology,archive,1592
Fischer (Germany),company,1584
Offenburg University of Applied Sciences,education,1578
Leibniz Institute for Crystal Growth,facility,1571
Central Institute for Art History,facility,1559
Leibniz Institute for Prevention Research and Epidemiology - BIPS,facility,1557
Evangelisches Krankenhaus Bielefeld,healthcare,1550
Munich Cluster for Systems Neurology,facility,1548
Leibniz Institute for Analytical Sciences - ISAS,facility,1546
University of Vechta,education,1536
Max Planck Institute for Chemical Energy Conversion,facility,1535
Ludwigsburg University of Education,education,1519
Fraunhofer Institute for Laser Technology,facility,1507
Klinikum St. Georg,healthcare,1497
Klinikum Saarbrücken,healthcare,1496
Leibniz-Institute for New Materials,facility,1495
Klinikum Dortmund,healthcare,1492
Ukrainian Free University,education,1484
Leibniz Institute for Plasma Science and Technology,facility,1470
Fraunhofer Institute for Ceramic Technologies and Systems,facility,1468
CS Diagnostics,facility,1468
Mannheim University of Applied Sciences,education,1467
Max Planck Institute for Brain Research,facility,1465
University of Education Freiburg,education,1464
Thüringer Landessternwarte Tautenburg,funder,1462
Ostfalia University of Applied Sciences,funder,1461
Kliniken der Stadt Köln,healthcare,1461
Max Planck Institute for Software Systems,facility,1454
Max Rubner Institut,government,1453
Klinikum Hanau,healthcare,1452
Trier University of Applied Sciences,education,1451
Munich Leukemia Laboratory (Germany),company,1445
Westfälische Hochschule,education,1442
Europa-Universität Flensburg,education,1441
Universitätsklinikum Knappschaftskrankenhaus Bochum,healthcare,1435
Life & Brain (Germany),company,1433
Fraunhofer Institute for Manufacturing Engineering and Automation,facility,1432
Gesundheitsamt,government,1426
Klinikum Frankfurt Höchst,healthcare,1426
ESCP Business School,education,1425
Klinik und Poliklinik für Strahlentherapie und Radioonkologie,healthcare,1424
Dr. Margarete Fischer-Bosch-Institute of Clinical Pharmacology,facility,1420
Volkswagen Group (Germany),funder,1417
Zeppelin Universität gemeinnützige GmbH,education,1411
Technische Hochschule Mittelhessen,education,1407
Leibniz Institute of Surface Engineering,facility,1398
GESIS - Leibniz-Institute for the Social Sciences,funder,1398
RheinMain University of Applied Sciences,education,1389
Institut für Psychologische Psychotherapie,facility,1388
Inform (Germany),company,1378
"Klinik und Poliklinik für Hals-, Nasen-, Ohrenheilkunde",healthcare,1369
Henkel (Germany),company,1360
Medical Genetics Center,healthcare,1359
ThyssenKrupp (Germany),funder,1345
"Klinik und Poliklinik für Mund-, Kiefer- und Gesichtschirurgie",healthcare,1345
Universitätsklinik Marien Hospital Herne,healthcare,1344
Nokia (Germany),company,1333
Klinikum Chemnitz,healthcare,1332
Leibniz-Institut für Werkstofforientierte Technologien - IWT,facility,1329
Leibniz Institute of Virology (LIV),facility,1328
University of Applied Sciences Landshut,education,1324
Institute of Bioinformatics and Systems Biology,facility,1323
Technische Hochschule Ulm,education,1318
Krankenhaus vom Roten Kreuz,healthcare,1313
Leipzig/Halle Airport,other,1312
Bernstein Center for Computational Neuroscience Berlin,government,1306
Federal Office for Radiation Protection,government,1306
Fraunhofer Institute for Intelligent Analysis and Information Systems,facility,1306
German Institute for Global and Area Studies,funder,1305
Literaturarchiv,archive,1304
Fraunhofer Institute for Experimental Software Engineering,facility,1302
Novartis (Germany),funder,1293
Fraunhofer Institute for Material and Beam Technology,facility,1292
Center of Advanced European Studies and Research,facility,1291
Westsächsische Hochschule Zwickau,education,1288
Krankenhaus Nordwest,healthcare,1287
University Cancer Center Hamburg,healthcare,1285
München Klinik Schwabing,healthcare,1281
"Systems, Applications & Products in Data Processing (Germany)",company,1277
Rhön-Klinikum,healthcare,1277
Halle Institute for Economic Research,facility,1276
Asklepios Fachkliniken München-Gauting,healthcare,1276
MSB Medical School Berlin,education,1273
Endokrinologikum,healthcare,1273
Klinikum Leverkusen,healthcare,1266
Max Planck Institute for Molecular Biomedicine,facility,1265
Leibniz Institute on Aging - Fritz Lipmann Institute (FLI),facility,1264
Zentralklinik Bad Berka,healthcare,1260
MSH Medical School Hamburg – University of Applied Sciences and Medical University,education,1258
Institut für Informationsverarbeitung,facility,1255
Sana Klinikum Offenbach,healthcare,1254
Helios Klinikum Erfurt,healthcare,1254
Fraunhofer Institute for Applied Information Technology,facility,1251
European X-Ray Free-Electron Laser,facility,1248
Ernst Abbe University of Applied Sciences Jena,education,1239
European Association of Social Psychology,other,1234
Berufsgenossenschaftliche Unfallklinik Murnau,healthcare,1228
Helios Klinikum Krefeld,healthcare,1227
Fraunhofer Institute for Machine Tools and Forming Technology,facility,1227
Fraunhofer Institute for Manufacturing Technology and Advanced Materials,facility,1226
Hautklinik Heidelberg,healthcare,1224
Museum am Rothenbaum,archive,1223
Klinikum Ingolstadt,healthcare,1220
Hochschule Magdeburg-Stendal,education,1213
Klinikum Kassel,healthcare,1210
Stuttgart University of Applied Sciences,education,1209
"Stiftung Wissenschaft und Politik, German Institute for International and Security Affairs",facility,1209
Deutsche Klinik für Diagnostik,healthcare,1209
European Molecular Biology Organization,nonprofit,1206
Frauenklinik Heidelberg,healthcare,1203
Hochschule Bremen,education,1201
Klinikum im Friedrichshain,healthcare,1199
Fraunhofer Institute for Cell Therapy and Immunology,funder,1196
Abbott (Germany),company,1196
Leibniz Institute for Agricultural Engineering and Bioeconomy,facility,1195
Klinikum Braunschweig,healthcare,1190
University Hospitals of the Ruhr-University of Bochum,healthcare,1186
DRK Kliniken Berlin,other,1185
Fraunhofer Institute for Integrated Systems and Device Technology,facility,1182
Fraunhofer Institute for Biomedical Engineering,facility,1180
Leipzig University of Applied Sciences,education,1170
Segeberger Kliniken,healthcare,1169
Federal Institute for Occupational Safety and Health,healthcare,1167
Katharinenhospital,healthcare,1163
Helmholtz Institute Mainz,government,1163
Wismar University of Applied Sciences,education,1161
Agaplesion Markus Hospital,healthcare,1154
Ingenieurgesellschaft Auto und Verkehr (Germany),company,1153
Johannes Wesling Klinikum Minden,healthcare,1151
CeNTech,other,1150
Fraunhofer Institute for Chemical Technology,facility,1148
Audi (Germany),company,1145
Research Association for Combustion Engines,nonprofit,1144
Institut für Technische und Angewandte Physik (Germany),company,1142
Klinikum Darmstadt,healthcare,1139
Asklepios Klinik Altona,healthcare,1138
"Fraunhofer Institute for Communication, Information Processing and Ergonomics",facility,1135
Technical University of Applied Sciences Wildau,education,1133
Richard Wolf (Germany),company,1133
Fraunhofer Institute for Industrial Engineering,facility,1133
Nippon Steel (Germany),company,1133
Fraunhofer Institute for Digital Medicine,facility,1130
Klinikum Fulda,healthcare,1119
Kempten University of Applied Sciences,education,1115
German Institute of Development and Sustainability,funder,1113
Federal Institute for Drugs and Medical Devices,government,1103
Dortmund University of Applied Sciences and Arts,education,1099
